;;PLAN F   UENTE;PLAN DESTINO
SPL_ANZOLA;225;ABA_N11_4096_BS_JV;ABA_N12_4096_BS_JV
SPL_ANZOLA;226;ABA_N8_6144_BS_JC;ABA_N9_6144_BS_JC
SPL_ANZOLA;227;ABA_N9_6144_BS_JC;ABA_N10_6144_BS_JC
SPL_ANZOLA;228;ABA_N10_6144_BS_JC;ABA_N11_6144_BS_JC
SPL_ANZOLA;229;ABA_N11_6144_BS_JC;ABA_N12_6144_BS_JC
SPL_ANZOLA;230;ABA_N8_1024_BS;ABA_N9_1024_BS
SPL_ANZOLA;231;ABA_N9_1024_BS;ABA_N10_1024_BS
SPL_ANZOLA;232;ABA_N10_1024_BS;ABA_N11_1024_BS
SPL_ANZOLA;233;ABA_N11_1024_BS;ABA_N12_1024_BS
SPL_ANZOLA;234;ABA_N8_6144_BS_JC;ABA_N9_6144_BS_JC
SPL_ANZOLA;235;ABA_N9_6144_BS_JC;ABA_N10_6144_BS_JC
SPL_ANZOLA;236;ABA_N10_6144_BS_JC;ABA_N11_6144_BS_JC
SPL_ANZOLA;237;ABA_N11_6144_BS_JC;ABA_N12_6144_BS_JC
SPL_ANZOLA;238;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;239;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;240;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;241;ABA_N11_6144_BS;ABA_N12_6144_BS
SPL_ANZOLA;242;ABA_N8_6144_BS_JC;ABA_N9_6144_BS_JC
SPL_ANZOLA;243;ABA_N9_6144_BS_JC;ABA_N10_6144_BS_JC
SPL_ANZOLA;244;ABA_N10_6144_BS_JC;ABA_N11_6144_BS_JC
SPL_ANZOLA;245;ABA_N11_6144_BS_JC;ABA_N12_6144_BS_JC
SPL_ANZOLA;246;ABA_N8_1536_BS_JV;ABA_N9_1536_BS_JV
SPL_ANZOLA;247;ABA_N9_1536_BS_JV;ABA_N10_1536_BS_JV
SPL_ANZOLA;248;ABA_N10_1536_BS_JV;ABA_N11_1536_BS_JV
SPL_ANZOLA;249;ABA_N11_1536_BS_JV;ABA_N12_1536_BS_JV
SPL_ANZOLA;250;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;251;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;252;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;253;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;254;ABA_N8_10240_BS;ABA_N9_10240_BS
SPL_ANZOLA;255;ABA_N9_10240_BS;ABA_N10_10240_BS
SPL_ANZOLA;256;ABA_N10_10240_BS;ABA_N11_10240_BS
SPL_ANZOLA;257;ABA_N11_10240_BS;ABA_N12_10240_BS
SPL_ANZOLA;258;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;259;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;260;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;261;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;262;ABA_N8_4096_BS;ABA_N9_4096_BS
SPL_ANZOLA;263;ABA_N9_4096_BS;ABA_N10_4096_BS
SPL_ANZOLA;264;ABA_N10_4096_BS;ABA_N11_4096_BS
SPL_ANZOLA;265;ABA_N11_4096_BS;ABA_N12_4096_BS
SPL_ANZOLA;266;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;267;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;268;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;269;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;270;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;271;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;272;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;273;ABA_N11_6144_BS;ABA_N12_6144_BS
SPL_ANZOLA;274;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;275;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;276;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;277;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;278;ABA_N8_3072_BS_JC;ABA_N9_3072_BS_JC
SPL_ANZOLA;279;ABA_N9_3072_BS_JC;ABA_N10_3072_BS_JC
SPL_ANZOLA;280;ABA_N10_3072_BS_JC;ABA_N11_3072_BS_JC
SPL_ANZOLA;281;ABA_N11_3072_BS_JC;ABA_N12_3072_BS_JC
SPL_ANZOLA;282;ABA_N8_3072_BS;ABA_N9_3072_BS
SPL_ANZOLA;283;ABA_N9_3072_BS;ABA_N10_3072_BS
SPL_ANZOLA;284;ABA_N10_3072_BS;ABA_N11_3072_BS
SPL_ANZOLA;285;ABA_N11_3072_BS;ABA_N12_3072_BS
SPL_ANZOLA;286;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;287;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;288;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;289;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;290;ABA_N8_4096_BS;ABA_N9_4096_BS
SPL_ANZOLA;291;ABA_N9_4096_BS;ABA_N10_4096_BS
